gameDate,gameNum,team,quarter,time,down,dist,fieldSide,yardLine,yardsGained,outCome
9/10/2023,1,Panthers,4,13:09,3rd,1,OWN,34,2,"(13:09) (NO HUDDLE, SHOTGUN) 6-M.SERS RIGHT GUARD TO CAR 36 FOR 2 YARDS (90-D.ONYEMATA, 44-T.ERSEN)."
9/10/2023,1,Panthers,4,11:42,3rd,10,OWN,36,-7,(11:42) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 29 FOR -7 YARDS (SACK SPLIT BY 44-T.ERSEN  97-G.JARRETT).
9/10/2023,1,Panthers,4,11:42,3rd,5,OWN,41,0,"(11:42) (SHOTGUN) PENALTY ON CAR-79-I.EKWONU, FALSE START, 5 YARDS, ENFORCED AT CAR 41 - NO PLAY."
9/10/2023,1,Panthers,4,7:25,3rd,8,OWN,3,0,(7:25) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT RIGHT TO 88-T.MARSHALL [93-C.CAMPBELL].
9/10/2023,1,Panthers,4,4:34,3rd,10,OWN,25,-12,(4:34) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 13 FOR -12 YARDS (0-L.CARTER).
9/10/2023,1,Panthers,4,1:23,3rd,5,OPP,38,9,(1:23) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE TO 19-A.THIELEN TO ATL 29 FOR 9 YARDS (27-R.GRANT).
9/10/2023,1,Panthers,4,0:28,3rd,15,OPP,34,0,"(:28) (NO HUDDLE, SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP RIGHT."
9/10/2023,1,Panthers,3,11:31,3rd,10,OPP,33,8,(11:31) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO ATL 25 FOR 8 YARDS (20-D.ALFORD).
9/10/2023,1,Panthers,3,6:48,3rd,6,OWN,40,0,"(6:48) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE INTENDED FOR 88-T.MARSHALL INTERCEPTED BY 3-J.BATES AT ATL 49. 3-J.BATES TO ATL 49 FOR NO GAIN (88-T.MARSHALL). PENALTY ON CAR-80-I.THOMAS, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT ATL 49."
9/10/2023,1,Panthers,3,2:58,3rd,9,OWN,47,0,"(2:58) (NO HUDDLE, SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 88-T.MARSHALL. PENALTY ON ATL-33-T.FLOWERS, DEFENSIVE PASS INTERFERENCE, 9 YARDS, ENFORCED AT CAR 47 - NO PLAY."
9/10/2023,1,Panthers,2,14:46,3rd,10,OWN,25,7,(14:46) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 30-C.HUBBARD PUSHED OB AT CAR 32 FOR 7 YARDS (44-T.ERSEN).
9/10/2023,1,Panthers,2,11:04,3rd,2,OWN,33,11,"(11:04) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE TO 81-H.HURST TO CAR 44 FOR 11 YARDS (33-T.FLOWERS, 3-J.BATES)."
9/10/2023,1,Panthers,2,7:48,3rd,8,OPP,41,9,(7:48) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 15-J.MINGO PUSHED OB AT ATL 32 FOR 9 YARDS (33-T.FLOWERS).
9/10/2023,1,Panthers,2,1:39,3rd,10,OWN,17,0,(1:39) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP MIDDLE TO 15-J.MINGO.
9/10/2023,1,Panthers,1,8:58,3rd,11,OPP,34,14,(8:58) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 5-L.SHENAULT TO ATL 20 FOR 14 YARDS (27-R.GRANT; 33-T.FLOWERS).
9/10/2023,1,Panthers,1,6:56,3rd,1,OPP,11,0,(6:56) (SHOTGUN) 5-L.SHENAULT LEFT GUARD TO ATL 11 FOR NO GAIN (27-R.GRANT; 48-B.DUPREE).
9/18/2023,2,Panthers,4,11:26,3rd,1,OWN,29,5,(11:26) 6-M.SERS LEFT END PUSHED OB AT CAR 34 FOR 5 YARDS (56-D.DAVIS).
9/18/2023,2,Panthers,4,9:22,3rd,11,OWN,33,26,(9:22) (SHOTGUN) 9-B.YOUNG SCRAMBLES UP THE MIDDLE TO NO 41 FOR 26 YARDS (23-M.LATTIMORE).
9/18/2023,2,Panthers,4,6:20,3rd,3,OPP,13,-5,(6:20) (SHOTGUN) 9-B.YOUNG SACKED AT NO 18 FOR -5 YARDS (56-D.DAVIS).
9/18/2023,2,Panthers,4,2:42,3rd,4,OWN,31,7,(2:42) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN TO CAR 38 FOR 7 YARDS (29-P.ADEBO).
9/18/2023,2,Panthers,4,2:00,3rd,2,OWN,46,0,(2:00) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP RIGHT TO 15-J.MINGO.
9/18/2023,2,Panthers,3,13:43,3rd,9,OWN,26,-11,"(13:43) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 15 FOR -11 YARDS (SACK SPLIT BY 94-C.JORDAN  90-B.BRESEE). FUMBLES (94-C.JORDAN) [90-B.BRESEE], RECOVERED BY NO-90-B.BRESEE AT CAR 14. PENALTY ON NO-29-P.ADEBO, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT CAR 26 - NO PLAY."
